hotspot_id,latitude,longitude,rainfall,elevation,drain_capacity,flood_risk_level,associated_ward
HS0286,28.687611,77.195051,159,265,0.18,HIGH,W013
HS0287,28.709958,77.205825,156,246,0.19,HIGH,W013
HS0288,28.692917,77.228146,183,239,0.19,HIGH,W013
HS0289,28.725461,77.235497,188,257,0.52,MEDIUM,W013
HS0290,28.643194,77.019854,181,208,0.71,HIGH,W014
HS0291,28.640744,77.034256,190,178,0.7,HIGH,W014
HS0292,28.612297,77.030008,178,182,0.87,HIGH,W014
HS0293,28.64275,77.049538,170,181,0.81,HIGH,W014
HS0294,28.622807,77.021436,181,188,0.84,HIGH,W014
HS0295,28.645912,77.027758,209,194,0.85,HIGH,W014
HS0296,28.630871,77.040721,173,180,0.65,HIGH,W014
HS0297,28.612995,77.044927,172,195,0.71,HIGH,W014
HS0298,28.614864,77.029234,210,174,0.71,HIGH,W014
HS0299,28.621635,77.050163,187,190,0.62,HIGH,W014
HS0300,28.63149,77.050958,188,174,0.78,HIGH,W014
HS0301,28.624935,77.036715,183,208,0.78,MEDIUM,W014
HS0302,28.625,77.035132,207,181,0.61,HIGH,W014
HS0303,28.606687,77.022532,190,182,0.93,HIGH,W014
HS0304,28.615514,77.046499,190,212,0.83,MEDIUM,W014
HS0305,28.602769,77.03936,215,192,0.78,HIGH,W014
HS0306,28.647757,77.013849,209,192,0.76,HIGH,W014
HS0307,28.646667,77.041291,181,206,0.93,MEDIUM,W014
HS0308,28.649039,77.046649,177,198,0.85,MEDIUM,W014
HS0309,28.603843,77.018469,192,193,0.87,HIGH,W014
HS0310,28.60701,77.024781,205,191,0.64,HIGH,W014
HS0311,28.631102,77.033068,218,206,0.76,HIGH,W014
HS0312,28.61734,77.043082,171,202,0.87,MEDIUM,W014
HS0313,28.619382,77.035272,179,187,0.85,HIGH,W014
HS0314,28.576909,77.218656,66,240,0.77,LOW,W015
HS0315,28.608171,77.23744,66,236,0.91,LOW,W015
HS0316,28.612123,77.245684,75,255,0.69,LOW,W015
HS0317,28.575342,77.230908,100,241,0.83,LOW,W015
HS0318,28.581925,77.23427,87,258,0.85,LOW,W015
HS0319,28.605747,77.232437,98,229,0.63,MEDIUM,W015
HS0320,28.610571,77.233261,97,252,0.84,LOW,W015
HS0321,28.614,77.256772,86,260,0.87,LOW,W015
HS0322,28.571737,77.229443,99,253,0.72,LOW,W015
HS0323,28.596706,77.219221,70,224,0.53,MEDIUM,W015
HS0324,28.609217,77.258272,82,249,0.72,LOW,W015
HS0325,28.590068,77.211276,110,251,0.83,LOW,W015
HS0326,28.600921,77.216003,68,228,0.66,MEDIUM,W015
HS0327,28.582017,77.260342,64,251,0.79,LOW,W015
HS0328,28.57815,77.235219,87,223,0.9,LOW,W015
HS0329,28.590332,77.21289,106,247,0.57,MEDIUM,W015
HS0330,28.57229,77.248751,78,250,0.56,MEDIUM,W015
HS0331,28.612896,77.22946,100,255,0.87,LOW,W015
HS0332,28.601269,77.252275,112,249,0.63,MEDIUM,W015
HS0333,28.619179,77.230414,108,252,0.65,MEDIUM,W015
HS0334,28.598192,77.218647,112,233,0.73,MEDIUM,W015
HS0335,28.609217,77.252622,66,254,0.61,LOW,W015
HS0336,28.580853,77.213822,109,241,0.9,LOW,W015
HS0337,28.599007,77.228304,91,244,0.91,LOW,W015
HS0338,28.578648,77.251778,99,237,0.8,LOW,W015
HS0339,28.826284,77.195701,129,284,0.54,MEDIUM,W016
HS0340,28.802513,77.20986,147,283,0.61,MEDIUM,W016
HS0341,28.801733,77.196883,144,258,0.39,MEDIUM,W016
HS0342,28.818037,77.169131,121,286,0.3,MEDIUM,W016
HS0343,28.834825,77.18102,156,259,0.64,MEDIUM,W016
HS0344,28.84257,77.192877,154,279,0.45,MEDIUM,W016
HS0345,28.810236,77.191803,121,280,0.48,MEDIUM,W016
HS0346,28.817175,77.19752,160,264,0.6,MEDIUM,W016
HS0347,28.844151,77.187611,157,251,0.57,MEDIUM,W016
HS0348,28.818938,77.217038,118,264,0.51,MEDIUM,W016
HS0349,28.810036,77.179251,148,250,0.43,MEDIUM,W016
HS0350,28.820636,77.198562,141,263,0.56,MEDIUM,W016
HS0351,28.841577,77.168759,113,257,0.3,MEDIUM,W016
HS0352,28.810084,77.185168,112,271,0.54,MEDIUM,W016
HS0353,28.821543,77.206902,145,266,0.33,MEDIUM,W016
HS0354,28.844846,77.171723,140,254,0.27,MEDIUM,W016
HS0355,28.812203,77.198877,125,284,0.25,MEDIUM,W016
HS0356,28.841969,77.208328,119,248,0.59,MEDIUM,W016
HS0357,28.825794,77.171662,119,281,0.28,MEDIUM,W016
HS0358,28.815491,77.187587,148,258,0.39,MEDIUM,W016
HS0359,28.800664,77.207644,155,279,0.28,MEDIUM,W016
HS0360,28.380125,77.156589,23,268,0.46,LOW,W017
HS0361,28.417182,77.125254,59,230,0.44,MEDIUM,W017
HS0362,28.395222,77.127907,55,267,0.57,LOW,W017
HS0363,28.389704,77.120758,48,257,0.64,LOW,W017
HS0364,28.41719,77.140591,51,241,0.65,LOW,W017
HS0365,28.392969,77.145533,43,259,0.77,LOW,W017
HS0366,28.400232,77.135609,31,264,0.66,LOW,W017
HS0367,28.378667,77.147273,35,256,0.5,LOW,W017
HS0368,28.390238,77.127641,51,232,0.47,MEDIUM,W017
HS0369,28.413845,77.126712,52,242,0.76,LOW,W017
HS0370,28.416267,77.149228,62,240,0.57,LOW,W017
HS0371,28.380215,77.122594,50,254,0.7,LOW,W017
HS0372,28.404752,77.157928,45,236,0.41,MEDIUM,W017
HS0373,28.387419,77.150187,50,256,0.45,LOW,W017
HS0374,28.39309,77.126662,48,262,0.54,LOW,W017
HS0375,28.414525,77.157736,34,247,0.77,LOW,W017
HS0376,28.393944,77.161346,58,245,0.68,LOW,W017
HS0377,28.399769,77.132524,48,253,0.69,LOW,W017
HS0378,28.375296,77.12149,42,241,0.48,LOW,W017
HS0379,28.389,77.119622,25,253,0.53,LOW,W017
HS0380,28.380346,77.152233,33,265,0.43,LOW,W017
HS0381,28.393081,77.160982,49,263,0.59,LOW,W017
HS0382,28.385522,77.131577,65,235,0.72,LOW,W017
HS0383,28.395903,77.154251,52,230,0.49,MEDIUM,W017
HS0384,28.66913,77.352961,158,223,0.74,MEDIUM,W018
HS0385,28.663343,77.318233,145,214,0.79,MEDIUM,W018
HS0386,28.631928,77.353291,142,211,0.69,MEDIUM,W018
HS0387,28.64905,77.345395,157,225,0.69,MEDIUM,W018
HS0388,28.666807,77.355537,180,200,0.43,HIGH,W018
HS0389,28.644597,77.333303,158,207,0.47,HIGH,W018
HS0390,28.646324,77.341079,183,228,0.63,HIGH,W018
HS0391,28.655399,77.316932,179,215,0.81,MEDIUM,W018
HS0392,28.651594,77.350313,156,218,0.53,HIGH,W018
HS0393,28.636632,77.323012,148,217,0.65,MEDIUM,W018
HS0394,28.629461,77.335565,177,224,0.49,HIGH,W018
HS0395,28.647417,77.333041,161,223,0.72,MEDIUM,W018
HS0396,28.636805,77.348529,148,206,0.65,MEDIUM,W018
HS0397,28.658792,77.343855,172,199,0.64,HIGH,W018
HS0398,28.66713,77.346743,144,212,0.48,HIGH,W018
HS0399,28.670615,77.351943,165,224,0.66,MEDIUM,W018
HS0400,28.649312,77.319422,180,216,0.65,HIGH,W018
HS0401,28.675152,77.328394,168,210,0.64,HIGH,W018
HS0402,28.67378,77.320216,177,207,0.51,HIGH,W018
HS0403,28.635434,77.323476,162,215,0.73,MEDIUM,W018
HS0404,28.583944,76.9239,107,257,0.85,LOW,W019
HS0405,28.578326,76.906958,100,255,0.61,MEDIUM,W019
HS0406,28.593631,76.919324,140,243,0.55,MEDIUM,W019
HS0407,28.570524,76.906363,110,250,0.87,LOW,W019
HS0408,28.596615,76.886912,120,222,0.74,MEDIUM,W019
HS0409,28.616565,76.91286,113,227,0.56,MEDIUM,W019
HS0410,28.593062,76.902861,105,246,0.68,MEDIUM,W019
HS0411,28.615016,76.908534,116,228,0.81,MEDIUM,W019
HS0412,28.612821,76.886916,105,233,0.74,MEDIUM,W019
HS0413,28.595044,76.895151,125,229,0.59,MEDIUM,W019
HS0414,28.591982,76.904495,137,235,0.88,MEDIUM,W019
HS0415,28.579637,76.914447,133,234,0.87,MEDIUM,W019
HS0416,28.596205,76.923682,107,230,0.83,MEDIUM,W019
HS0417,28.608786,76.890317,129,218,0.67,MEDIUM,W019
HS0418,28.609199,76.922825,149,239,0.83,MEDIUM,W019
HS0419,28.600285,76.916587,135,254,0.64,MEDIUM,W019
HS0420,28.597732,76.915055,120,241,0.81,MEDIUM,W019
HS0421,28.579026,76.900551,147,244,0.59,MEDIUM,W019
HS0422,28.582422,76.894955,143,230,0.49,MEDIUM,W019
HS0423,28.615201,76.882507,126,251,0.89,LOW,W019
HS0424,28.572378,76.912867,148,220,0.65,MEDIUM,W019
HS0425,28.607845,76.920738,148,256,0.72,MEDIUM,W019
HS0426,28.587988,76.914194,128,237,0.72,MEDIUM,W019
HS0427,28.590912,76.917181,100,243,0.86,LOW,W019
HS0428,28.619811,77.203132,112,207,0.37,HIGH,W020
HS0429,28.627196,77.20448,116,231,0.53,MEDIUM,W020
HS0430,28.654393,77.189307,92,237,0.49,MEDIUM,W020
HS0431,28.660418,77.168332,78,209,0.7,MEDIUM,W020
HS0432,28.638482,77.199296,94,222,0.56,MEDIUM,W020
HS0433,28.628669,77.190698,112,221,0.6,MEDIUM,W020
HS0434,28.620075,77.192943,98,206,0.48,MEDIUM,W020
HS0435,28.66241,77.184141,118,226,0.69,MEDIUM,W020
HS0436,28.620817,77.197478,100,226,0.5,MEDIUM,W020
HS0437,28.659674,77.186924,120,225,0.38,MEDIUM,W020
HS0438,28.632936,77.207691,102,208,0.38,HIGH,W020
HS0439,28.667089,77.172447,109,223,0.48,MEDIUM,W020
HS0440,28.629956,77.161215,118,206,0.75,MEDIUM,W020
HS0441,28.62965,77.194293,118,207,0.66,MEDIUM,W020
HS0442,28.648917,77.205943,108,227,0.46,MEDIUM,W020
